company,date,revenue,expense,cogs,gross_profit,operating_profit,net_profit,category,region
AlphaCorp,2023-01-01,1204.74,1070.83,642.76,561.98,306.65,207.13,Operations,North
AlphaCorp,2023-01-02,1136.69,552.7,293.98,842.71,641.94,399.49,HR,West
AlphaCorp,2023-01-03,932.83,536.13,269.8,663.03,518.99,459.15,HR,East
AlphaCorp,2023-01-04,1181.94,1160.88,625.94,555.99,133.55,78.39,Marketing,South
AlphaCorp,2023-01-05,1285.87,877.94,520.44,765.44,529.2,465.74,Operations,East
AlphaCorp,2023-01-06,1262.31,867.8,606.26,656.05,316.93,241.43,Operations,North
AlphaCorp,2023-01-07,885.58,336.58,173.78,711.79,629.32,540.32,HR,South
AlphaCorp,2023-01-08,1122.23,1046.99,703.6,418.63,4.16,-86.48,Operations,East
AlphaCorp,2023-01-09,1748.76,1795.16,917.33,831.44,208.92,73.39,Marketing,West
AlphaCorp,2023-01-10,874.56,425.22,256.36,618.21,507.37,424.74,HR,West
AlphaCorp,2023-01-11,1423.94,1140.32,689.76,734.18,373.23,247.0,IT,North
AlphaCorp,2023-01-12,1160.38,786.65,504.93,655.45,439.72,312.5,Operations,East
AlphaCorp,2023-01-13,846.96,393.01,266.35,580.61,459.03,328.81,HR,East
AlphaCorp,2023-01-14,1318.33,1214.8,750.33,568.0,277.69,172.36,IT,North
AlphaCorp,2023-01-15,1291.26,803.62,407.6,883.66,567.6,475.5,IT,South
AlphaCorp,2023-01-16,1046.1,550.8,324.37,721.73,560.48,494.33,HR,North
AlphaCorp,2023-01-17,1109.64,917.42,504.71,604.93,387.5,255.6,Operations,South
AlphaCorp,2023-01-18,1169.39,761.02,487.87,681.52,415.32,334.98,HR,North
AlphaCorp,2023-01-19,1285.38,1242.73,635.29,650.08,286.0,149.94,Marketing,South
AlphaCorp,2023-01-20,1265.47,915.14,536.32,729.16,453.82,386.78,Operations,East
AlphaCorp,2023-01-21,1346.33,996.81,552.73,793.59,555.12,481.48,Marketing,South
AlphaCorp,2023-01-22,1619.97,1648.17,1000.6,619.38,280.91,200.42,Marketing,North
AlphaCorp,2023-01-23,1055.43,825.8,526.0,529.43,276.12,208.37,HR,East
AlphaCorp,2023-01-24,1193.98,774.55,536.82,657.16,407.27,291.44,Operations,East
AlphaCorp,2023-01-25,1630.3,1369.02,745.74,884.56,555.71,480.69,Marketing,East
AlphaCorp,2023-01-26,1308.33,5220.24,2751.18,-1442.85,-2954.23,-3015.77,Marketing,East
AlphaCorp,2023-01-27,901.59,806.91,492.6,408.99,172.52,38.64,HR,West
AlphaCorp,2023-01-28,1829.72,5917.0,3158.4,-1328.68,-3688.08,-3770.99,Marketing,West
AlphaCorp,2023-01-29,1088.03,764.77,423.74,664.28,505.31,423.77,IT,South
AlphaCorp,2023-01-30,1185.17,960.38,603.98,581.19,363.66,214.18,Operations,West
AlphaCorp,2023-01-31,1605.36,1486.1,861.25,744.11,198.99,135.66,IT,North
AlphaCorp,2023-02-01,1612.61,1055.57,558.16,1054.45,807.04,738.08,IT,West
AlphaCorp,2023-02-02,1360.19,1207.61,764.77,595.43,127.14,-18.69,Operations,South
AlphaCorp,2023-02-03,1869.11,3202.66,1972.19,-103.07,-782.48,-648.8,Marketing,West
AlphaCorp,2023-02-04,1398.15,1399.83,891.09,507.07,78.15,-38.6,IT,West
AlphaCorp,2023-02-05,1234.56,1114.23,690.92,543.64,200.36,69.51,HR,West
AlphaCorp,2023-02-06,1579.85,1617.67,859.36,720.48,84.7,-45.15,IT,West
AlphaCorp,2023-02-07,1506.21,966.24,604.37,901.85,591.12,489.25,IT,South
AlphaCorp,2023-02-08,1517.67,963.76,602.64,915.03,558.09,477.4,IT,North
AlphaCorp,2023-02-09,1423.4,1334.86,803.58,619.82,161.99,103.57,Operations,West
AlphaCorp,2023-02-10,978.47,676.22,440.07,538.39,337.01,195.31,HR,North
AlphaCorp,2023-02-11,1920.3,1877.39,1151.09,769.21,303.91,235.78,Marketing,North
AlphaCorp,2023-02-12,1190.55,974.62,558.92,631.62,252.35,157.17,HR,West
AlphaCorp,2023-02-13,962.76,704.67,469.5,493.27,219.23,88.83,HR,East
AlphaCorp,2023-02-14,1056.76,585.32,302.61,754.15,533.97,419.82,HR,East
AlphaCorp,2023-02-15,1597.04,1187.75,626.2,970.84,722.41,582.26,IT,East
AlphaCorp,2023-02-16,1457.64,1554.64,867.13,590.51,204.72,141.08,Marketing,East
AlphaCorp,2023-02-17,1629.72,1946.88,995.24,634.48,183.56,104.52,Marketing,North
AlphaCorp,2023-02-18,1667.15,1699.73,901.75,765.4,408.08,345.21,IT,West
AlphaCorp,2023-02-19,1188.45,576.97,296.49,891.96,761.34,617.32,HR,North
AlphaCorp,2023-02-20,1282.48,798.49,448.11,834.37,574.86,456.19,HR,West
AlphaCorp,2023-02-21,1386.43,965.67,516.38,870.05,612.23,478.77,HR,West
AlphaCorp,2023-02-22,1468.91,969.78,575.09,893.81,540.96,404.41,Marketing,South
AlphaCorp,2023-02-23,1589.7,4250.14,2159.64,-569.94,-2263.91,-2350.51,Marketing,North
AlphaCorp,2023-02-24,1053.1,623.61,416.68,636.41,466.65,346.22,HR,South
AlphaCorp,2023-02-25,1592.24,1557.84,1032.78,559.46,137.13,-10.98,Operations,West
AlphaCorp,2023-02-26,1142.06,888.16,552.07,590.0,333.64,244.12,Operations,South
AlphaCorp,2023-02-27,1629.35,1378.65,849.12,780.23,330.73,194.3,Marketing,East
AlphaCorp,2023-02-28,1761.15,1196.3,824.99,936.17,690.62,462.83,IT,West
AlphaCorp,2023-03-01,1427.19,719.25,391.84,1035.35,775.97,706.52,IT,East
AlphaCorp,2023-03-02,1338.02,949.39,651.9,686.12,412.26,355.41,IT,East
AlphaCorp,2023-03-03,1660.3,1283.44,896.77,763.53,492.0,350.07,IT,East
AlphaCorp,2023-03-04,1833.97,1421.31,729.43,1104.53,541.66,399.32,IT,North
AlphaCorp,2023-03-05,930.3,398.01,203.61,726.69,592.68,457.72,HR,East
AlphaCorp,2023-03-06,2169.2,2887.09,2010.95,158.25,-883.69,-1014.44,Marketing,West
AlphaCorp,2023-03-07,992.8,608.76,329.33,663.48,433.06,334.97,HR,West
AlphaCorp,2023-03-08,1344.95,975.97,560.3,784.64,458.87,322.4,Operations,West
AlphaCorp,2023-03-09,1008.01,409.3,230.85,777.17,657.4,516.34,HR,South
AlphaCorp,2023-03-10,1836.3,1784.32,989.68,846.62,176.69,80.76,Marketing,North
AlphaCorp,2023-03-11,1260.26,694.12,369.26,890.99,696.35,551.97,HR,North
AlphaCorp,2023-03-12,1497.52,1257.27,855.74,641.78,359.86,227.28,Operations,West
AlphaCorp,2023-03-13,1714.01,1118.47,589.94,1124.07,729.65,596.83,Marketing,South
AlphaCorp,2023-03-14,1781.5,1290.63,848.2,933.3,484.02,369.72,IT,North
